run_id,instance_file,ls_method,refinement_heuristics,neighborhoods,initial_method,seed,initial_benefit,final_benefit,improvement,improvement_pct,capacity_remaining,time,evaluations,timestamp
local_search_73,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,12,8107,10652,2545,31.39262365856667,0,17.199055194854736,12263,2025-10-05T14:59:25.765935
local_search_74,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,13,8107,11319,3212,39.620081411126186,48,30.00209069252014,21083,2025-10-05T14:59:55.778724
local_search_75,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,14,8107,11096,2989,36.86937214752683,17,21.36990451812744,14944,2025-10-05T15:00:17.152169
local_search_76,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,15,8107,11490,3383,41.72936968052301,11,23.291025400161743,16221,2025-10-05T15:00:40.446902
local_search_77,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,16,8107,10952,2845,35.09312939435056,9,15.889865636825562,11132,2025-10-05T15:00:56.340182
local_search_78,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,17,8107,10711,2604,32.12038978660417,9,19.032421827316284,13274,2025-10-05T15:01:15.377188
local_search_79,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,18,8107,11158,3051,37.634143332922164,21,24.051586389541626,16483,2025-10-05T15:01:39.432323
local_search_80,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,19,8107,10952,2845,35.09312939435056,9,20.381800413131714,14010,2025-10-05T15:01:59.817303
local_search_81,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,20,8107,10952,2845,35.09312939435056,9,8.699782133102417,5816,2025-10-05T15:02:08.520077
local_search_82,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,21,8107,11319,3212,39.620081411126186,48,17.69577980041504,12396,2025-10-05T15:02:26.218937
