run_id,instance_file,run_seed,solution,benefit,initial_sol,initial_sol_neighborhood,generations,elite_number,parents_per_generation,parents_survive,parent_selection,two_offsprings,crossover_points,mutation_rate,mutations_per_gene,start_time,time,evaluations,capacity_used,timestamp
genetic_algorithm_30,input/sukp12_400_400_0.10_0.75.txt,2,2581850927964189754130544936978582416204946086670938722413282963737188966396123316827367391706475303955639747651659869687,171,2581850927964189754130544936978590745690462164101860418157328318943158388259312340948440213799053648578144763670888951287,[],20,1,100,True,tournament,True,[],0.01,1,1760316213.97594,212.89995789527893,907,51436,2025-10-12T21:47:06.886068
genetic_algorithm_31,input/sukp18_100_100_0.15_0.85.txt,2,1223084757632780870297690570719,7822,1222155694450479504916356251103,[],20,1,100,True,tournament,True,[],0.01,1,1760316427.2613318,210.22557401657104,1311,15194,2025-10-12T21:50:37.487125
genetic_algorithm_32,input/sukp24_300_300_0.15_0.85.txt,2,2036721260171767186938588651495063067208256942170789318754309457562401176767785437979733751,507,2036721260179540071930187171935089659268087677562168074949061228202913916409550982601502455,[],20,1,100,True,tournament,True,[],0.01,1,1760316637.7694826,66.6381983757019,4240,45704,2025-10-12T21:51:44.408037
genetic_algorithm_33,input/sukp29_500_485_0.15_0.85.txt,2,0,0,99880519974780768200085834312556144767579489446220915155802823438576785184075155872553272144884867088973339391396743305493940117831476324530503390,[],20,1,100,True,tournament,True,[],0.01,1,1760316704.5544436,211.1003234386444,301,0,2025-10-12T21:55:15.655024
genetic_algorithm_34,input/prob-software-85-100-812-12180.txt,7,1266103094751227154158545009631,8943,1208982633815190880559889824767,[],20,1,100,True,tournament,True,[],0.01,1,1760322168.7018557,7.084827184677124,4200,12154,2025-10-12T23:22:55.786806
genetic_algorithm_35,input/sukp03_100_100_0.10_0.75.txt,4,1025014347652751918759306592123,9882,1022150361672795824036442537851,[],20,1,100,True,tournament,True,[],0.01,1,1760322175.8861387,8.591369867324829,4200,11171,2025-10-12T23:23:04.477866
genetic_algorithm_36,input/sukp06_200_200_0.10_0.75.txt,3,1498228940474932013518756081471411730187688450262896779657117,3068,1499430416978975152115898107678870716614725898304456024358333,[],20,1,100,True,tournament,True,[],0.01,1,1760322184.5942137,27.914847373962402,4200,25343,2025-10-12T23:23:32.509260
genetic_algorithm_37,input/sukp12_400_400_0.10_0.75.txt,3,2469909063073696565735979830538124106991706585020827708682856744856848531217081816980142175199866415249153197482801230699,431,2550604371763883077563486092559372602543087194957130653628945501611042541724269364862585046542241645165560282679533751103,[],20,1,100,True,tournament,True,[],0.01,1,1760322212.654812,114.59125232696533,4200,49442,2025-10-12T23:25:27.246440
genetic_algorithm_38,input/sukp18_100_100_0.15_0.85.txt,3,950728239140968330813536976895,7946,948252359062433599060703178655,[],20,1,100,True,tournament,True,[],0.01,1,1760322327.3719902,9.044592142105103,4200,15462,2025-10-12T23:25:36.416690
genetic_algorithm_39,input/sukp24_300_300_0.15_0.85.txt,3,2013129006923819895438178834120834807601412369734314337897878418117892400371863932888546797,1607,2013129006923818100482026411219045886570949355488401325657832494319004382441013454332099951,[],20,1,100,True,tournament,True,[],0.01,1,1760322336.5583372,67.62566184997559,4200,45687,2025-10-12T23:26:44.184289
