instance_file,run_id,method_inferred,benefit,time,_source_file,Solution,alpha,beta,biggest_first,capacity_remaining,capacity_used,crossover_points,elite_number,evaluations,final_temp,first_solution,gamma,generations,ils_max_tries,improvement,improvement_pct,initial_benefit,initial_method,initial_sol,initial_sol_neighborhood,initial_temp,ls_max_tries,ls_method,method,mutation_rate,mutations_per_gene,neighborhood_names,neighborhoods,parameters,params,parent_selection,parents_per_generation,parents_survive,perturbation,refinement_heuristics,run_finding_initial_temp,run_seed,seed,solution,start_time,starting_find_temp,timestamp,two_offsprings
input/sukp02_100_85_0.10_0.75.txt,constructive_7397,create_pack_benefit_greedy_solution,8881,0.00025916099548339844,constructive.csv,,,,,,12001,,,1,,,,,,,,,,,,,,,create_pack_benefit_greedy_solution,,,,,,biggest_first=True,,,,,,,,37315244974153707535982577,,,,2025-10-17T12:31:43.043205,
input/sukp02_100_85_0.10_0.75.txt,constructive_2792,create_randomic_solution,6147,4.76837158203125e-05,constructive.csv,,,,,,11968,,,1,,,,,,,,,,,,,,,create_randomic_solution,,,,,,biggest_first=True,,,,,,,,11.0,,,,2025-10-17T10:57:27.238149,
input/sukp02_100_85_0.10_0.75.txt,constructive_2936,create_randomized_dep_size_greedy_solution,7498,0.000115156173706,constructive.csv,,,,,,12015,,,1,,,,,,,,,,,,,,,create_randomized_dep_size_greedy_solution,,,,,,biggest_first=False,,,,,,,,5.0,,,,2025-10-17T10:57:27.363428,
input/sukp02_100_85_0.10_0.75.txt,constructive_4878,create_randomized_num_pack_greedy_solution,7691,0.0002377033233642578,constructive.csv,9,,,,,12009,,,1,,,,,,,,,,,,,,,create_randomized_num_pack_greedy_solution,,,,,,biggest_first=True,,,,,,,,33320942600540563707395961,,,,2025-10-17T12:22:01.288237,
input/sukp02_100_85_0.10_0.75.txt,constructive_3011,create_randomized_pack_benefit_greedy_solution,10295,0.0003931522369384,constructive.csv,,,,,,11985,,,1,,,,,,,,,,,,,,,create_randomized_pack_benefit_greedy_solution,,,,,,biggest_first=False,,,,,,,,20.0,,,,2025-10-17T10:57:27.438503,
input/sukp02_100_85_0.10_0.75.txt,constructive_2880,create_randomized_ratio_greedy_solution,7433,0.0003185272216796,constructive.csv,,,,,,11999,,,1,,,,,,,,,,,,,,,create_randomized_ratio_greedy_solution,,,,,,biggest_first=False,,,,,,,,9.0,,,,2025-10-17T10:57:27.314304,
input/sukp02_100_85_0.10_0.75.txt,constructive_8317,create_ratio_greedy_solution,10948,0.0002894401550292969,constructive.csv,,,,,,11991,,,1,,,,,,,,,,,,,,,create_ratio_greedy_solution,,,,,,biggest_first=True,,,,,,,,38229917573690750603886074,,,,2025-10-17T12:32:14.537392,
input/sukp02_100_85_0.10_0.75.txt,local_search_138,hill_climbing,12711,3.7411139011383057,local_search.csv,,,,,9,,,,3085,,,,,,1763,16.103397880891485,10948,create_ratio_greedy_solution,,,,,hill_climbing,,,,,"['flip_bit', 'swap_bits']",,,,,,,['random_best_step'],,,17,,,,2025-11-15T16:56:05.520970,
input/sukp02_100_85_0.10_0.75.txt,local_search_188,variable_neighborhood_descent,12654,9.716124773025513,local_search.csv,,,,,31,,,,7664,,,,,,1706,15.582754841066862,10948,create_ratio_greedy_solution,,,,,variable_neighborhood_descent,,,,,"['flip_bit', 'swap_bits']",,,,,,,"['random_best_step', 'first_best_step']",,,1,,,,2025-11-15T17:22:42.993032,
input/sukp03_100_100_0.10_0.75.txt,simulated_annealing_77,<unknown>,13803,6.662704229354858,simulated_annealing.csv,,0.95,1.5,,,11209,,,10001,1.722078277288059e-220,random,0.8,,,,,,,,,1000.0,,,,,,,,,,,,,,,False,13,,945786171050219171222784834557,1760384619.9697971,1000.0,2025-10-13T16:43:46.632533,
