instance_file,method,count,best,median,avg,std,iqr,outliers,avg_time
sukp12_400_400_0.10_0.75.txt,create_randomized_dep_size_greedy_solution,90,494.0,0.0,29.9,100.90033462823544,0.0,0,0.0028517140282524446
sukp12_400_400_0.10_0.75.txt,create_randomized_num_pack_greedy_solution,90,72.0,0.0,2.4,12.996801680897661,0.0,0,0.007763629489474779
sukp12_400_400_0.10_0.75.txt,create_randomized_pack_benefit_greedy_solution,90,6848.0,5586.5,5574.3,400.7362451815997,400.0,6,0.009559030003017801
sukp12_400_400_0.10_0.75.txt,create_randomized_ratio_greedy_solution,90,244.0,0.0,8.133333333333333,44.044716807486516,0.0,0,0.011663775973849778
sukp12_400_400_0.10_0.75.txt,create_ratio_greedy_solution,3,748.0,748.0,498.6666666666667,431.85800135384005,748.0,0,0.0087802410125732
sukp18_100_100_0.15_0.85.txt,create_dep_size_greedy_solution,2,7584.0,3792.0,3792.0,5362.697828518776,0.0,0,0.00011253356933592656
sukp18_100_100_0.15_0.85.txt,create_num_pack_greedy_solution,2,8947.0,4837.5,4837.5,5811.710634572234,0.0,0,0.0008127689361572001
sukp18_100_100_0.15_0.85.txt,create_pack_benefit_greedy_solution,2,9098.0,5654.5,5654.5,4869.844402031753,0.0,0,0.0008225440979003501
sukp18_100_100_0.15_0.85.txt,create_randomic_solution,60,7479.0,3454.5,3165.8333333333335,1593.9629769073724,2877.0,0,9.940067927040688e-05
sukp18_100_100_0.15_0.85.txt,create_randomized_dep_size_greedy_solution,60,8491.0,3963.5,4389.0,1741.324432626217,1948.0,2,0.00032974481582636
sukp18_100_100_0.15_0.85.txt,create_randomized_num_pack_greedy_solution,60,5878.0,3515.0,3526.9333333333334,1263.8582288369491,1698.0,0,0.00067414442698156
sukp18_100_100_0.15_0.85.txt,create_randomized_pack_benefit_greedy_solution,60,10514.0,7518.5,7580.7,1304.2458734092604,1846.0,0,0.0009387413660684734
sukp18_100_100_0.15_0.85.txt,create_randomized_ratio_greedy_solution,60,6833.0,4833.0,4801.9,1128.9085279183516,1364.0,0,0.00100495417912796
sukp18_100_100_0.15_0.85.txt,create_ratio_greedy_solution,2,9422.0,4711.0,4711.0,6662.360092339651,0.0,0,0.0009968280792235999
sukp24_300_300_0.15_0.85.txt,create_dep_size_greedy_solution,3,504.0,0.0,168.0,290.9845356715714,504.0,0,0.0003261566162108667
sukp24_300_300_0.15_0.85.txt,create_num_pack_greedy_solution,3,90.0,90.0,60.0,51.96152422706632,90.0,0,0.006181557973225867
sukp24_300_300_0.15_0.85.txt,create_pack_benefit_greedy_solution,3,6490.0,6490.0,4529.333333333333,3395.974283373379,5882.0,0,0.008014917373657168
sukp24_300_300_0.15_0.85.txt,create_randomic_solution,90,592.0,0.0,86.36666666666666,169.91018446966874,90.0,15,0.0002947224511040078
sukp24_300_300_0.15_0.85.txt,create_randomized_dep_size_greedy_solution,90,665.0,0.0,99.03333333333333,164.7151746623393,103.0,15,0.00191654894087045
sukp24_300_300_0.15_0.85.txt,create_randomized_num_pack_greedy_solution,90,1222.0,0.0,132.3,280.76254311780536,89.0,21,0.005416210492451932
sukp24_300_300_0.15_0.85.txt,create_randomized_pack_benefit_greedy_solution,90,5924.0,5053.0,5034.166666666667,492.58837683076126,732.0,0,0.007117366790771438
sukp24_300_300_0.15_0.85.txt,create_randomized_ratio_greedy_solution,90,953.0,125.5,249.3,287.5093139673522,488.0,0,0.0075899495018852525
sukp24_300_300_0.15_0.85.txt,create_ratio_greedy_solution,3,1788.0,1788.0,1192.0,1032.3022813110508,1788.0,0,0.006858269373575833
sukp28_485_500_0.15_0.85.txt,create_dep_size_greedy_solution,22,0.00020241737365722656,0.0,1.802227713844993e-05,5.834681233802104e-05,0.0,0,0.09111261367797852
sukp28_485_500_0.15_0.85.txt,create_num_pack_greedy_solution,22,0.008923768997192383,0.0,0.0007998184724287553,0.0025890588804718916,0.0,0,0.09847907586531206
sukp28_485_500_0.15_0.85.txt,create_pack_benefit_greedy_solution,22,6091.0,404.0,2952.273465156555,2934.8867140678126,5687.0,0,0.09889485619284889
sukp28_485_500_0.15_0.85.txt,create_randomic_solution,660,0.0005548000335693359,0.0,2.781947453816732e-05,8.869393601584644e-05,0.0,0,0.09120341828375152
sukp28_485_500_0.15_0.85.txt,create_randomized_dep_size_greedy_solution,660,290.0,0.0,1.3001519571651112,17.668604194854,0.0,0,0.0925941431161129
sukp28_485_500_0.15_0.85.txt,create_randomized_num_pack_greedy_solution,660,123.0,0.0,3.7280436725327464,21.100493705024046,0.0,0,0.099027055682558
sukp28_485_500_0.15_0.85.txt,create_randomized_pack_benefit_greedy_solution,660,6303.0,4720.0,4352.364480855248,1449.8624187914781,719.0,80,0.10118931206789883
sukp28_485_500_0.15_0.85.txt,create_randomized_ratio_greedy_solution,660,0.01307225227355957,0.0,0.0010439771594423237,0.003310781460899626,0.0,0,0.10179999488772767
sukp28_485_500_0.15_0.85.txt,create_ratio_greedy_solution,22,0.011031389236450195,0.0,0.0009508566422895951,0.0030826899858272805,0.0,0,0.10133504867553711
sukp29_500_485_0.15_0.85.txt,create_dep_size_greedy_solution,3,393.0,0.0,131.0,226.8986557915229,393.0,0,0.0004317760467529
sukp29_500_485_0.15_0.85.txt,create_num_pack_greedy_solution,3,0.0,0.0,0.0,0.0,0.0,0,0.0150188604990641
sukp29_500_485_0.15_0.85.txt,create_pack_benefit_greedy_solution,3,6651.0,6651.0,4537.333333333333,3660.978056931417,6341.0,0,0.017513116200764966
sukp29_500_485_0.15_0.85.txt,create_randomic_solution,90,0.0,0.0,0.0,0.0,0.0,0,0.0005064302020602278
sukp29_500_485_0.15_0.85.txt,create_randomized_dep_size_greedy_solution,90,146.0,0.0,4.866666666666666,26.354625630709148,0.0,0,0.003920406765407935
sukp29_500_485_0.15_0.85.txt,create_randomized_num_pack_greedy_solution,90,0.0,0.0,0.0,0.0,0.0,0,0.016853268941243442
sukp29_500_485_0.15_0.85.txt,create_randomized_pack_benefit_greedy_solution,90,5680.0,4921.0,4889.133333333333,347.02233195632306,318.0,9,0.019270941946241543
sukp29_500_485_0.15_0.85.txt,create_randomized_ratio_greedy_solution,90,839.0,0.0,59.06666666666667,187.06291677256792,0.0,0,0.023344522052340985
sukp29_500_485_0.15_0.85.txt,create_ratio_greedy_solution,3,0.0,0.0,0.0,0.0,0.0,0,0.0213539600372314
